age_years,ssc_percentage,hsc_percentage,degree_percentage,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,career_switch_willingness,relevant_experience,previous_ctc_lpa,expected_ctc_lpa,competition_level,bond_requirement,notice_period_days,layoff_history,employment_gap_months,relocation_willingness,status,gender_Male,gender_female,gender_male,degree_specialization_Electronics,degree_specialization_Information Technology,degree_specialization_Mechanical,degree_specialization_Others,company_tier_Tier 1 ,company_tier_Tier 2,company_tier_Tier 2 ,company_tier_Tier 3,company_tier_Tier 3 ,job_role_match_Not Matched,experience_category
23,60.75002531,67.51294522,75.19019554,70.70305836,69.88870867,70.40378934,61.86013034,0,No,0,Willing,Relevant,7.070709914,6.232636368,Low,Required,60.0,No,3.0,Not Willing,0,True,False,False,False,False,True,False,False,False,False,False,False,True,Fresher
26,74.07146278,70.92199167,82.26146513,74.58922515,77.89486751,45.0,57.60396076,0,No,0,Willing,Relevant,6.143701756,10.56365269,Medium,Not Required,15.0,Yes,0.0,No,0,True,False,False,False,True,False,False,False,True,False,False,False,False,Fresher
25,70.13398817,56.63821821,73.65784785,66.92878016,67.49188713,75.27574477,74.36204688,0,Yes,3,Not Willing,Not Relevant,2.246799313,10.80025157,Medium,Not Required,60.0,No,0.0,Willing,0,False,False,False,False,True,False,False,False,False,False,True,False,False,Junior
22,83.21510356,80.77866824,66.67427127,67.55836666,59.02385082,67.60519259,74.06429964,2,No,1,Not Willing,Relevant,4.732290209,5.870151472,Medium,Not Required,30.0,No,6.0,No,0,True,False,False,True,False,False,False,False,True,False,False,False,False,Junior
28,69.18915952,67.31393809,81.49683149,64.4383585,60.30304072,78.16512842,91.51209104,1,Yes,4,Not Willing,Not Relevant,3.426834013,3.767979279,Low,Not Required,15.0,No,0.0,Willing,1,True,False,False,False,False,False,True,False,False,False,True,False,False,Senior
22,67.79554674,75.41699771,77.45544672,73.63119865,59.36212088,66.50130255,85.79091091,2,No,2,Willing,Not Relevant,6.270831574,8.812300545,Low,Not Required,30.0,No,0.0,Willing,0,False,False,False,False,False,True,False,False,False,False,False,False,True,Junior
32,57.64435775,57.50012128,71.08077124,52.12909,56.9662493,78.50099678,78.23391496,1,Yes,2,Willing,Relevant,1.0,6.377331665,Low,Not Required,15.0,No,0.0,Not Willing,0,False,False,False,False,False,False,True,False,False,False,False,False,False,Junior
25,79.02074849,62.69925411,75.39991501,67.70872645,50.58188068,59.75210192,69.25528527,0,Yes,2,Not Willing,Relevant,6.474395183,11.2151523302,High,Required,30.0,No,0.0,Willing,1,True,False,False,False,False,False,True,False,False,False,True,False,False,Junior
21,68.57893479,73.20510901,78.40038623,65.00478025,71.6203051,71.9863206,75.24343748,0,No,1,Willing,Relevant,7.129573273,5.139745187,High,Required,15.0,Yes,6.0,Willing,0,False,False,False,False,False,True,False,False,False,False,False,False,True,Junior
32,60.5786654,72.01438305,71.15236802,70.01329335,48.33095796,50.59737133,74.06304381,1,No,1,Not Willing,Relevant,5.766641187,7.713783795,Medium,Required,0.0,No,3.0,Willing,0,False,False,False,False,False,False,True,False,True,False,False,False,True,Junior
30,69.97121038,77.24857569,84.89995074,96.178831,54.5323386,79.46040562,63.37842523,0,No,1,Willing,Relevant,6.453821171,8.110161717,Medium,Not Required,0.0,No,3.0,Not Willing,1,True,False,False,False,True,False,False,False,False,True,False,False,False,Junior
26,67.86998524,54.43081319,71.85001347,69.85988044,63.94709157,73.50787356,73.34294906,0,No,0,Not Willing,0,1.240294158,13.39388388,Medium,Not Required,0.0,No,3.0,Not Willing,0,True,False,False,False,False,False,False,False,False,False,True,False,False,Fresher
33,84.54470307,80.33270507,77.73604704,62.97308156,71.22457208,63.30854555,73.74839644,1,Yes,1,No,Relevant,6.222251333,8.048751215,Low,Not Required,0.0,No,6.0,Willing,1,False,False,False,False,False,True,False,False,False,False,True,False,False,Junior
29,60.34343102,89.25152277,76.53077486,68.38712234,45.96261896,75.37905317,78.26962469,0,yes ,1,No,Relevant,6.855191795,8.917882862,High,Not Required,0.0,No,0.0,Willing,1,True,False,False,False,False,False,False,False,False,False,False,False,False,Junior
21,75.78088008,72.01438305,73.1633898,56.22590611,65.11117415,82.68199119,78.80455055,1,No,0,Not Willing,Relevant,4.396204814,5.391487386,Medium,Required,30.0,No,3.0,No,0,False,False,False,False,True,False,False,False,True,False,False,False,False,Fresher
31,56.58862464,77.82989164,68.98846193,57.05896748,58.54168733,69.95283206,69.63125294,1,No,3,Willing,Not Relevant,3.122285806,8.0747921492,Low,Not Required,15.0,No,0.0,Willing,0,False,False,False,False,False,False,True,False,False,False,False,False,False,Junior
30,67.93056577,68.4654608,74.69734141,75.95395,66.62211849,79.87429786,94.92081758,1,Yes,3,No,Not Relevant,4.164788054,9.779975365,Low,Not Required,15.0,No,6.0,Not Willing,1,True,False,False,False,False,False,False,False,False,False,False,False,True,Junior
32,78.69674289,84.07405722,85.81806434,65.98518402,66.00805133,78.3768546,71.45659294,3,Yes,1,Not Willing,Relevant,7.256496659,5.833140238,Low,Not Required,0.0,Yes,6.0,Willing,0,True,False,False,True,False,False,False,False,True,False,False,False,True,Junior
23,53.76803404,77.83545641,85.63485427,87.34919788,62.08858353,57.37092713,74.62758944,0,No,3,Not Willing,0,7.936887259,11.27037473,High,Required,30.0,No,0.0,Willing,1,False,False,False,False,False,True,False,False,True,False,False,False,False,Junior
27,71.03373117,72.01438305,88.9120723,59.39289636,58.96194235,72.97768189,89.7487658,3,Yes,0,Not Willing,Relevant,4.359098779,8.051731071,Low,Not Required,60.0,Yes,0.0,No,0,True,False,False,False,False,False,False,False,False,False,False,False,False,Fresher
24,50.19248356,84.56624173,72.45700869,72.27342926,58.59133581,71.34336319,55.91900336,2,No,0,Willing,Not Relevant,4.410523921,5.932063688,Low,Not Required,30.0,No,6.0,Willing,0,False,False,False,False,False,False,False,False,False,False,False,False,False,Fresher
29,56.60041975,76.40213442,74.5148293,75.08869627,72.0598142,74.97624909,66.93727012,1,No,0,Not Willing,Not Relevant,1.0,4.682587104,Low,Not Required,0.0,No,0.0,Willing,0,False,False,False,False,False,False,True,False,True,False,False,False,False,Fresher
25,69.5483786,72.90679491,71.31481433,64.25750349,63.7396631,49.75062629,78.94120902,3,No,0,Not Willing,Relevant,3.504430488,4.293088333,Low,Not Required,0.0,Yes,6.0,Willing,0,True,False,False,True,False,False,False,False,False,False,True,False,False,Fresher
23,71.5650535,74.24473151,78.91511207,61.64351181,78.5046023,64.62150689,92.76768023,0,Yes,5,Willing,Relevant,1.720494449,7.87275894,Low,Not Required,0.0,Yes,0.0,Not Willing,1,False,True,False,True,False,False,False,False,True,False,False,False,False,Senior
25,79.95873398,66.73893125,69.93606185,56.19156185,63.62961753,60.84066872,88.9656501,1,No,2,No,Not Relevant,6.655141228,9.950947376,High,Not Required,0.0,No,3.0,Not Willing,0,True,False,False,False,False,True,False,False,True,False,False,False,False,Junior
29,89.22594591,82.0755631,74.10687332,62.89773953,62.18480195,77.16180741,68.76004994,1,Yes,2,Willing,Relevant,6.48463807,7.943738229,Low,Not Required,30.0,Yes,0.0,No,1,True,False,False,False,True,False,False,False,True,False,False,False,False,Junior
27,78.91601801,73.94799991,66.41054481,56.82059615,68.4031616,72.53901564,68.34103461,1,Yes,0,Not Willing,Relevant,6.638265085,8.408290266,Medium,Not Required,30.0,Yes,0.0,Willing,0,True,False,False,False,False,False,True,False,False,False,False,False,False,Fresher
24,69.71052035,77.80370976,83.10782036,95.34734414,65.89465071,49.85173774,99.36041174,0,No,2,Not Willing,Relevant,5.827677969,3.640118307,Medium,Not Required,15.0,No,0.0,Willing,1,False,True,False,False,False,False,True,False,False,False,False,False,True,Junior
22,67.30403212,85.6622299,77.52656419,78.91347575,80.1361133,63.41955713,58.17399597,3,Yes,5,Not Willing,Relevant,3.248268961,6.308545925,High,Not Required,0.0,No,3.0,Willing,1,True,False,False,True,False,False,False,False,True,False,False,False,False,Senior
30,59.98208047,68.82401878,78.60164637,91.99761465,49.46505472,65.46117579,72.42511007,1,No,3,No,0,5.261232029,8.84195007,Low,Not Required,60.0,No,6.0,No,0,False,False,False,False,False,False,True,False,True,False,False,False,False,Junior
29,75.7674351,57.08361453,73.42525379,87.9397911,60.4672983,76.25550668,88.1854246,0,No,1,Not Willing,Relevant,4.282045024,5.055455006,Low,Not Required,0.0,No,0.0,Willing,1,False,False,False,True,False,False,False,False,False,False,False,False,False,Junior
30,73.66202045,77.85446693,69.49785463,75.77867974,59.8277759,69.73020203,97.77754382,3,Yes,5,Not Willing,Not Relevant,3.536095972,4.907332089,Medium,Not Required,0.0,Yes,6.0,No,1,False,False,False,False,False,False,False,False,True,False,False,False,False,Senior
25,65.19020426,80.77096023,75.3565794,72.6338682,61.87528577,79.14058958,91.17048787,1,No,3,Willing,Relevant,5.689357463,9.649395726,Medium,Not Required,0.0,No,0.0,Not Willing,1,True,False,False,True,False,False,False,False,True,False,False,False,False,Junior
24,55.16163967,81.77803461,80.7554053,54.93153635,76.7806377,58.9158699,92.0849751,1,Yes,3,Willing,Not Relevant,4.377911895,3.0,Medium,Not Required,30.0,No,6.0,Willing,0,False,False,False,False,True,False,False,False,True,False,False,False,False,Junior
32,78.41606205,85.95819627,72.11547174,100.0,56.97252082,75.3837293,60.57881915,0,Yes,2,Not Willing,Relevant,1.215799746,3.0,Low,Not Required,0.0,Yes,6.0,Willing,1,False,False,False,False,False,True,False,False,True,False,False,False,False,Junior
32,65.62776124,63.18383781,81.19159795,70.02150525,69.3995173,81.3135774,69.14729653,1,No,0,Willing,Not Relevant,2.09364454,8.231993155,Medium,Not Required,0.0,Yes,6.0,Willing,0,False,False,False,False,False,True,False,False,True,False,False,False,True,Fresher
27,84.06988922,65.46808506,79.36097767,81.18124919,82.61585319,47.49008339,69.36725038,1,Yes,3,No,Relevant,3.007455095,9.861578737,High,Not Required,0.0,No,0.0,Willing,0,True,False,False,False,False,False,True,False,True,False,False,False,False,Junior
33,67.23576094,64.99594459,76.18204894,90.6500933,60.85866687,65.22080371,83.41550593,2,Yes,1,Not Willing,Not Relevant,8.440232966,4.048418734,Low,Not Required,15.0,Yes,3.0,Willing,1,True,False,False,False,False,True,False,False,False,False,True,False,False,Junior
28,62.27112054,74.21882145,75.75856731,67.35520533,62.19115909,76.8421597,78.34150885,2,No,1,Not Willing,0,5.100141138,7.563420202,Medium,Not Required,15.0,No,6.0,Willing,1,False,False,False,False,False,True,False,False,False,False,False,False,False,Junior
23,57.04050769,75.84571394,76.7391107,58.82696272,63.31773536,60.08343032,78.16726044,0,No,2,Not Willing,Relevant,3.320097634,7.131303252,Low,Required,60.0,No,0.0,Willing,0,False,False,False,False,False,True,False,False,True,False,False,False,False,Junior
34,69.37878332,84.86541109,80.83460887,64.32039081,61.99628115,81.60932701,59.88133125,0,No,4,Not Willing,0,2.932457512,9.104913632,Medium,Not Required,0.0,No,0.0,Willing,1,False,False,False,False,False,False,False,False,False,False,False,False,False,Senior
21,70.44552129,78.29283313,70.18048501,84.07980443,77.5077682,66.90975886,85.30011256,1,Yes,5,Not Willing,Not Relevant,7.923863455,9.428298846,Medium,Not Required,30.0,No,0.0,Willing,1,False,False,False,False,True,False,False,False,False,False,False,False,False,Senior
24,78.42230086,56.06874256,63.75448281,69.8527901,56.25853084,59.38805714,80.74337294,2,No,0,No,Relevant,1.0,10.11608239,Medium,Not Required,0.0,No,3.0,Not Willing,0,False,False,False,False,False,True,False,False,True,False,False,False,False,Fresher
22,64.22773751,72.01438305,76.64663851,59.15915452,49.81710327,61.69584782,64.9074718,1,yes ,2,Not Willing,Not Relevant,3.006585307,11.61738445,Medium,Not Required,15.0,Yes,3.0,No,0,False,True,False,False,True,False,False,False,True,False,False,False,False,Junior
24,67.14947004,71.52353532,61.76304563,87.6850777,69.95144809,62.812904,79.47960456,1,Yes,1,Not Willing,0,2.444046552,5.253010722,Low,Not Required,15.0,No,3.0,Willing,1,False,False,False,False,False,False,True,False,True,False,False,False,False,Junior
22,81.98802936,67.07146509,80.65126421,74.52172042,54.53363438,56.57679635,63.06994019,0,Yes,0,Not Willing,Relevant,3.459397452,12.29405734,Low,Not Required,15.0,No,0.0,Willing,0,False,False,False,True,False,False,False,False,True,False,False,False,False,Fresher
26,64.15014485,64.35719729,62.38448325,67.84981244,62.35555662,75.7464617,71.02603849,0,No,3,Willing,Not Relevant,3.062054654,9.412867857,Medium,Not Required,0.0,No,3.0,Willing,0,True,False,False,True,False,False,False,False,False,False,False,False,False,Junior
26,60.40245012,71.02563836,68.75061966,75.97102823,63.81860273,61.45303953,76.39055756,3,Yes,0,No,Not Relevant,3.398590946,5.687814446,Low,Not Required,15.0,No,0.0,Not Willing,0,True,False,False,True,False,False,False,False,False,False,False,False,False,Fresher
24,68.13168442,67.63420297,77.30995348,66.77509072,64.55114854,57.98687221,80.0031736,2,No,2,No,Relevant,1.509335141,6.332112252,Low,Not Required,60.0,Yes,0.0,No,0,False,False,False,True,False,False,False,False,False,False,True,False,False,Junior
26,68.41504846,75.7783452,63.53669906,62.73110953,77.59457174,65.1298116,55.16874062,1,No,4,Not Willing,Relevant,4.642979089,13.97711069,Low,Not Required,0.0,No,0.0,Willing,1,True,False,False,False,False,True,False,False,True,False,False,False,False,Senior
33,73.40672193,64.55515405,70.89336988,77.53645045,53.79728815,62.74896054,74.36871849,0,Yes,2,Not Willing,Not Relevant,1.797493621,7.312279285,High,Not Required,0.0,No,0.0,Willing,1,True,False,False,False,False,False,True,False,True,False,False,False,False,Junior
30,63.34598331,72.37475801,73.25365111,66.96053558,62.22421247,68.61667253,58.48567607,0,No,1,Not Willing,Relevant,7.894971482,8.198313262,Low,Not Required,0.0,No,6.0,Not Willing,0,False,False,False,False,True,False,False,False,False,False,True,False,True,Junior
32,66.63674886,70.99389522,68.29385646,69.35344696,67.60850247,52.12300437,55.59700972,2,Yes,1,Not Willing,Relevant,4.352298945,6.822203837,Medium,Not Required,0.0,No,6.0,Not Willing,0,False,False,False,False,True,False,False,False,True,False,False,False,False,Junior
30,65.46803877,64.0865758,70.97902907,59.05192459,77.11980507,79.80419908,66.38862712,1,No,2,Not Willing,Relevant,3.257826984,8.600463049,Medium,Not Required,60.0,No,3.0,Willing,0,False,False,False,False,False,False,False,False,False,False,True,False,False,Junior
34,57.1165952,73.4220403,67.59962322,58.67044455,67.35110244,72.41802414,55.22192852,0,Yes,2,Not Willing,0,3.238289266,8.192043455,Low,Not Required,0.0,No,0.0,Willing,0,True,False,False,False,False,False,True,False,True,False,False,False,False,Junior
24,69.97121038,75.8744742,75.49298814,88.41837354,75.98545208,87.32440959,83.47974982,2,Yes,2,Not Willing,Relevant,6.40034094,7.426369689,Low,Not Required,15.0,No,3.0,Willing,1,False,False,True,False,False,False,False,False,False,False,False,False,True,Junior
28,71.35618035,56.59965384,62.92697084,68.945709,65.91386512,57.31711646,77.85968673,1,No,1,Not Willing,Relevant,6.537453794,7.512530263,Medium,Required,0.0,No,0.0,Not Willing,0,True,False,False,True,False,False,False,False,False,False,False,False,False,Junior
27,63.27461987,64.24171169,87.64459206,71.41100139,60.32764629,59.71525144,68.15363137,1,No,3,Not Willing,Not Relevant,7.915215701,6.959305071,Medium,Required,15.0,No,0.0,Willing,0,True,False,False,False,False,False,False,False,False,False,False,False,True,Junior
32,73.88234073,76.60402243,65.81085926,69.7191744,64.48146145,56.9341729,74.1085074,0,No,3,Not Willing,Not Relevant,10.50194607,13.6369994236,Low,Not Required,0.0,Yes,0.0,Willing,0,False,False,True,False,False,False,True,False,False,False,True,False,False,Junior
34,69.97121038,71.00845463,79.64533524,77.94635327,56.70587334,67.42658522,67.43115445,2,Yes,3,Willing,Relevant,5.544221444,3.42571967,Medium,Not Required,60.0,No,0.0,Willing,1,False,False,False,False,False,True,False,False,False,False,True,False,False,Junior
25,79.97438718,64.27499235,83.03449899,56.48274018,63.89047938,78.25896751,100.0,0,No,3,Willing,0,5.653950187,8.995342752,Low,Not Required,15.0,No,3.0,Not Willing,0,True,False,False,False,False,True,False,False,False,False,False,False,False,Junior
33,82.75977474,74.34648465,71.05269406,74.14582495,67.04799664,67.17521455,83.87427741,0,No,0,Not Willing,Not Relevant,3.524115044,5.843839261,Medium,Not Required,30.0,No,6.0,Not Willing,0,True,False,False,False,False,True,False,False,False,False,False,False,True,Fresher
22,72.58769178,56.45419246,75.16596992,82.16453632,58.4360687,56.5471505,69.59362216,2,No,0,Willing,0,5.124983498,5.334433362,Low,Not Required,60.0,No,3.0,Willing,0,False,False,False,False,True,False,False,False,True,False,False,False,False,Fresher
25,63.92190679,65.71852423,71.03486569,62.17395166,83.30404353,89.1540198,72.82677662,3,No,2,Not Willing,Relevant,2.303724158,8.070046281,Medium,Required,30.0,No,3.0,Willing,0,False,False,False,False,False,True,False,False,False,False,True,False,False,Junior
28,70.75934992,81.54093814,84.56518929,48.92416757,64.98394511,60.28676398,76.16048727,3,No,4,Not Willing,Not Relevant,6.893227199,11.57647199,Medium,Not Required,60.0,No,0.0,Willing,0,False,False,False,True,False,False,False,False,False,False,False,True,False,Senior
30,63.79640488,62.11262417,73.95234247,99.25606135,78.87487811,49.25238252,55.22103838,3,Yes,1,No,Relevant,5.702582078,14.22443919,Medium,Required,60.0,No,0.0,Not Willing,0,False,True,False,False,False,False,True,False,False,False,True,False,False,Junior
29,59.29141251,67.02200836,72.27850164,68.97408782,40.0,45.0,68.88615316,1,Yes,3,No,Not Relevant,3.939098742,7.841124882,Low,Not Required,0.0,No,3.0,Willing,0,True,False,False,True,False,False,False,False,True,False,False,False,True,Junior
32,62.03116536,66.78162912,74.19356611,95.69397976,63.20229941,62.35537598,78.79533627,1,No,2,Willing,Relevant,5.389467152,7.21590826,Low,Not Required,30.0,No,0.0,No,1,True,False,False,False,False,False,False,False,False,False,True,False,False,Junior
33,52.25612257,61.17675613,71.40197908,69.27255243,40.0,63.34105962,52.05414146,1,No,0,Not Willing,0,5.756548092,3.263898872,Low,Not Required,15.0,No,0.0,Willing,0,False,False,False,False,False,True,False,False,False,False,False,False,True,Fresher
33,82.06099499,74.57325718,73.8694407,66.8897438,63.70324253,73.63673977,64.88707027,0,Yes,3,Not Willing,0,6.922036186,6.693053017,High,Required,60.0,No,0.0,Willing,0,False,False,False,False,True,False,False,False,True,False,False,False,False,Junior
33,75.88840098,84.87266429,69.64386003,64.39714502,68.06094016,72.40350672,95.58230352,1,Yes,1,Not Willing,Not Relevant,3.665089614,4.549056585,Low,Required,60.0,No,0.0,Not Willing,0,False,False,False,False,False,False,True,False,False,False,False,False,True,Junior
21,76.4924259,71.56751402,72.8814054,71.39369651,62.1315345,74.91650035,75.96744056,0,No,2,No,0,4.654180598,5.857562063,Low,Not Required,30.0,No,0.0,Willing,1,False,False,False,False,False,False,True,False,False,False,True,False,False,Junior
29,59.28705076,73.91798777,70.39401583,76.88478539,55.52499286,83.51775208,85.34139674,3,Yes,0,Not Willing,Not Relevant,5.163917939,6.73490375,Low,Required,0.0,No,0.0,Willing,1,True,False,False,False,True,False,False,False,False,False,True,False,False,Fresher
27,67.91037797,79.53121247,78.97575444,66.5379299,68.9896029,63.00893203,65.16271299,1,Yes,0,Willing,0,7.390490268,9.719292663,Low,Not Required,15.0,No,0.0,Not Willing,0,True,False,False,False,False,False,False,False,True,False,False,False,False,Fresher
29,75.82187476,69.69019328,72.5595268,64.93211164,60.33927004,76.51089734,62.31329221,2,No,0,Not Willing,Relevant,3.133957599,7.31668832,Low,Required,0.0,No,3.0,Not Willing,0,False,False,False,False,False,False,False,False,False,False,False,False,False,Fresher
21,66.73888631,82.48444804,78.27065454,54.49708073,59.27822247,68.67096976,87.28430285,0,Yes,0,Not Willing,Not Relevant,1.0,3.0,Low,Not Required,0.0,No,6.0,Not Willing,0,True,False,False,True,False,False,False,False,True,False,False,False,True,Fresher
28,67.58010649,66.9779862,61.04001384,78.89275951,68.26848193,64.65737556,49.74072249,2,Yes,0,Not Willing,Relevant,4.454282211,10.59755917,Low,Not Required,0.0,No,6.0,No,0,True,False,False,False,False,True,False,False,True,False,False,False,False,Fresher
28,68.54251308,81.33652138,77.52184115,84.36059325,77.65383407,66.09492572,67.62845576,2,Yes,1,Not Willing,Relevant,4.521056436,10.92351922,High,Required,0.0,Yes,0.0,Willing,0,False,False,False,False,False,False,False,False,False,False,True,False,False,Junior
23,56.71252549,72.01438305,75.58432426,57.59239375,70.28184012,57.24206275,67.53016193,0, no,2,Willing,Relevant,5.026939386,6.298056819,Medium,Not Required,30.0,No,0.0,No,0,False,False,False,False,False,False,False,False,False,False,True,False,True,Junior
21,56.60587378,87.38400877,77.60190864,56.06336931,47.2329541,77.50932855,68.09578436,1,No,1,Willing,Relevant,4.655429258,11.53499904,Medium,Required,15.0,No,6.0,Willing,0,False,False,False,True,False,False,False,False,False,False,True,False,False,Junior
28,79.85044168,63.84823975,74.22010824,60.33471908,49.58086913,80.34696492,59.27735156,1,No,0,Willing,Not Relevant,5.546537863,7.109652828,Medium,Required,0.0,No,3.0,Not Willing,0,True,False,False,False,False,False,True,False,False,False,False,False,True,Fresher
23,78.58343149,68.5370513,76.24800781,59.40016491,68.16063002,82.66938408,76.15654527,1,Yes,3,Not Willing,Not Relevant,1.543222171,8.249837473,Low,Not Required,60.0,No,6.0,Not Willing,0,True,False,False,False,True,False,False,False,False,False,False,False,True,Junior
23,64.84235952,60.92327766,70.70390135,48.0634211,59.12879155,68.32209696,96.08722197,1,Yes,4,Not Willing,0,5.63905019,6.8854353,Medium,Not Required,15.0,No,0.0,Not Willing,0,True,False,False,False,False,True,False,False,True,False,False,False,True,Senior
21,82.21342865,89.98363275,59.38466296,47.41375757,70.86360014,78.99867899,74.24746612,3,No,4,Not Willing,Not Relevant,7.459344182,8.294967262,Low,Not Required,15.0,No,0.0,Willing,0,False,False,False,False,False,True,False,False,False,False,False,False,False,Senior
31,71.3302736,80.29194142,68.32257342,54.85810624,68.25711061,56.20167852,67.8266442,0,Yes,1,Not Willing,Not Relevant,2.722933414,7.736863373,Low,Not Required,30.0,No,0.0,No,0,True,False,False,False,True,False,False,False,False,False,True,False,False,Junior
25,79.0998949,75.83325689,77.16948029,57.19394275,62.40370992,68.54274042,66.57378357,2,Yes,0,Not Willing,0,6.705977335,8.61083806,Low,Required,30.0,No,0.0,Not Willing,0,False,False,False,True,False,False,False,True,False,False,False,False,True,Fresher
30,67.27248242,78.01120645,83.8550002,68.45062549,68.24612287,53.27777085,79.13219698,1,Yes,1,Not Willing,Relevant,2.274835443,5.809667861,High,Not Required,0.0,Yes,0.0,Not Willing,0,False,False,False,False,False,True,False,False,True,False,False,False,False,Junior
29,83.3663039,61.62662939,57.74422563,45.31077306,64.0034511,59.89179101,86.33267636,1,Yes,5,Not Willing,0,7.807310262,7.723745092,High,Not Required,0.0,No,0.0,Not Willing,0,True,False,False,False,False,False,True,False,False,False,True,False,False,Senior
32,68.69600538,69.97986144,81.14045204,40.0,58.54337885,73.50150138,77.32396672,0,Yes,3,No,Not Relevant,5.78079046,6.150029516,Low,Not Required,0.0,Yes,6.0,No,0,True,False,False,False,True,False,False,False,False,False,False,False,False,Junior
27,69.31087478,70.61620141,65.10789194,67.00162596,77.89086334,49.32234675,88.56392422,3,No,0,Willing,Relevant,3.596035918,10.39104878,Low,Not Required,0.0,No,3.0,Not Willing,0,True,False,False,False,False,False,True,False,False,False,True,False,False,Fresher
